loss,corrupt,performance,performance_ci
0,0,11.90269907,0.061559352
0,0.1,48.28501576,2.892173205
0,0.2,175.7868285,4.299412155
0,0.3,259.2391524,4.690829018
0,0.4,345.6762809,8.366028263
0,0.5,461.1376747,8.924790842
0,0.6,610.1927141,11.10132284
0,0.7,1474.058958,50.34963433
0,0.8,2567.552902,61.52635399
0,0.9,4101.012965,171.7953511
0.1,0,28.12349148,1.515328497
0.1,0.1,135.8013527,8.806491004
0.1,0.2,224.7883805,4.088695533
0.1,0.3,303.6294861,6.227061209
0.1,0.4,384.1451416,7.31271214
0.1,0.5,479.0452986,8.418952896
0.1,0.6,633.4905105,17.4680828
0.1,0.7,1282.115126,37.95615175
0.1,0.8,2361.504749,67.9006841
0.1,0.9,3994.967098,122.3413716
0.2,0,114.7190081,9.21311957
0.2,0.1,205.3365072,3.603978614
0.2,0.2,269.947179,4.075766182
0.2,0.3,339.3678386,5.337764581
0.2,0.4,427.9906262,7.896854973
0.2,0.5,515.5464613,11.34198361
0.2,0.6,665.0964348,14.07868867
0.2,0.7,1125.009518,36.37535058
0.2,0.8,2210.103515,64.68855284
0.2,0.9,3921.624227,126.7024105
0.3,0,201.8130662,3.694250959
0.3,0.1,252.3552054,3.827121625
0.3,0.2,306.947515,5.322991802
0.3,0.3,389.5635718,7.633846119
0.3,0.4,461.56339,6.83626019
0.3,0.5,554.5200698,11.31467115
0.3,0.6,719.0200448,19.75561597
0.3,0.7,959.5587543,21.42719374
0.3,0.8,1924.622566,56.41647072
0.3,0.9,3536.208503,131.6977095
0.4,0,260.1690271,5.970519705
0.4,0.1,307.6255552,5.458762513
0.4,0.2,358.6300123,7.070883875
0.4,0.3,429.888057,5.928515613
0.4,0.4,510.97354,10.84475963
0.4,0.5,617.1673371,15.37101025
0.4,0.6,785.5439026,18.49584482
0.4,0.7,1008.179708,24.07063829
0.4,0.8,1590.605621,51.58743946
0.4,0.9,3299.256784,116.3906961
0.5,0,310.8284497,5.807290971
0.5,0.1,370.394648,6.940515362
0.5,0.2,420.2080707,10.40943066
0.5,0.3,490.1653035,10.22256997
0.5,0.4,598.8091129,16.20329598
0.5,0.5,705.6817156,18.92305185
0.5,0.6,891.0652296,23.15858331
0.5,0.7,1141.620647,25.83592224
0.5,0.8,1632.72597,42.43392184
0.5,0.9,3157.250411,119.627917
0.6,0,385.8936902,6.076556035
0.6,0.1,441.7070511,6.67018091
0.6,0.2,497.3187821,8.075338875
0.6,0.3,575.5899099,13.07957161
0.6,0.4,680.4961999,16.37951419
0.6,0.5,835.5233822,17.1092339
0.6,0.6,1054.398909,35.13544018
0.6,0.7,1323.133101,39.59636694
0.6,0.8,1946.671313,67.49998483
0.6,0.9,3753.271645,173.87701
0.7,0,501.8110384,9.566304331
0.7,0.1,559.0445196,9.874155654
0.7,0.2,640.421267,14.57203462
0.7,0.3,741.9448159,16.2239147
0.7,0.4,880.6275185,22.28056097
0.7,0.5,1050.852293,25.12086003
0.7,0.6,1329.450386,35.33964285
0.7,0.7,1701.647663,39.14951934
0.7,0.8,2555.562218,85.85434611
0.7,0.9,4810.461206,206.3132574
0.8,0,740.0128366,15.38840496
0.8,0.1,851.9114658,24.38935479
0.8,0.2,935.8669876,23.87017362
0.8,0.3,1064.22619,27.80222778
0.8,0.4,1248.818014,34.36152604
0.8,0.5,1533.459574,41.06063491
0.8,0.6,1878.412905,54.65414551
0.8,0.7,2417.657178,85.2540989
0.8,0.8,3659.883476,204.1750805
0.8,0.9,6991.153045,460.2224518
0.9,0,1467.028635,46.76750278
0.9,0.1,1691.84438,53.62041709
0.9,0.2,1887.70338,70.2290876
0.9,0.3,2127.950865,79.29879059
0.9,0.4,2475.982174,77.40563587
0.9,0.5,3032.452464,98.40198923
0.9,0.6,3727.594654,163.9304193
0.9,0.7,4900.481969,346.1747004
0.9,0.8,6943.775699,563.838102
0.9,0.9,9776.605817,618.7372843
