loss,corrupt,performance,performance_ci
0,0,12.7550441,0.842855316
0,0.1,16.51157333,1.035825006
0,0.2,23.13586077,1.472625166
0,0.3,124.1230269,109.3664437
0,0.4,274.2930446,128.1222291
0,0.5,682.0675255,301.7673724
0,0.6,1469.871061,616.7261754
0,0.7,2670.643372,757.8312616
0.1,0,17.28566637,1.260589368
0.1,0.1,22.57379986,1.740654682
0.1,0.2,31.91092329,5.484072796
0.1,0.3,185.7766541,164.3891006
0.1,0.4,268.6637623,171.1941995
0.1,0.5,424.4678291,285.1026502
0.1,0.6,994.8371673,371.3141095
0.1,0.7,1892.97427,706.8461796
0.2,0,23.62780948,1.675571345
0.2,0.1,29.05956094,2.020398606
0.2,0.2,38.89791426,3.200085437
0.2,0.3,98.1651443,72.98002265
0.2,0.4,163.5844753,52.13262877
0.2,0.5,268.3726242,69.20880002
0.2,0.6,611.2070283,164.6835791
0.2,0.7,1004.77884,318.2816009
0.3,0,34.72079725,2.940536938
0.3,0.1,45.56363475,4.496640362
0.3,0.2,61.6042201,8.818550645
0.3,0.3,91.92771315,13.43342236
0.3,0.4,136.623282,46.0363968
0.3,0.5,223.1921797,58.10133604
0.3,0.6,326.2223195,50.34475319
0.3,0.7,535.2815589,94.59420784
0.4,0,52.92108361,5.423334151
0.4,0.1,65.43719586,3.870226142
0.4,0.2,84.76152827,8.707833767
0.4,0.3,114.66859,4.308876862
0.4,0.4,156.0526462,15.90300141
0.4,0.5,222.0851968,19.35022817
0.4,0.6,349.7342902,26.22326254
0.4,0.7,634.2248449,40.39993572
0.5,0,79.64017009,9.001485153
0.5,0.1,97.17361187,9.843175754
0.5,0.2,112.0856902,11.18625093
0.5,0.3,158.3097895,19.08187885
0.5,0.4,210.6977067,19.36154235
0.5,0.5,301.6939117,33.01449111
0.5,0.6,463.7483016,9.862784836
0.5,0.7,842.2120269,60.70988382
0.6,0,120.515151,10.6722046
0.6,0.1,135.7599263,10.84859789
0.6,0.2,166.9404311,11.81161009
0.6,0.3,223.5623966,22.68595247
0.6,0.4,319.4413104,33.04016203
0.6,0.5,461.7718201,43.97146133
0.6,0.6,690.1041851,57.1641218
0.6,0.7,1355.801747,64.68052999
0.7,0,208.0255615,22.29460682
0.7,0.1,276.9950735,22.03258794
0.7,0.2,310.1530741,35.55149386
0.7,0.3,434.0713877,47.86857809
0.7,0.4,555.3251178,47.13693913
0.7,0.5,817.9514474,109.4764436
0.7,0.6,1286.04543,177.1878421
0.7,0.7,2439.59927,163.705638
