random seed:58,messagenum:1000,wsize:8,interarrival:20.0,timeer:20.0,repeat time:30,algorithm:SR,,,,,,,,,,,,,
loss,corrupt,original,original_ci,retransmit,retransmit_ci,ack,ack_ci,corrupt,corrupt_ci,rtt,rtt_ci,performance,performance_ci,delay,delay_ci,goodput,goodput_ci,tput,tput_ci
0,0,1000,0,38.83333333,2.759476921,1038.666667,2.718882338,0,0,11.58740508,0.048502336,12.03308295,0.064810327,0,0,7.962757977,0.044578887,13.23752644,0.089714714
0,0.1,940.2666667,55.5539076,809.9666667,463.2567818,1319.6,128.5061205,281.6333333,29.05483221,11.80621381,0.053109916,37.57022253,20.30707112,376.4357043,366.0602141,7.468948528,0.441442844,18.71846595,1.910621488
0,0.2,525.5666667,103.7324862,4461.566667,805.1861791,2184.866667,176.6027434,978.3333333,78.00242292,12.17632891,0.178368522,350.2922634,123.535317,3528.315357,978.4436787,4.128966218,0.82341951,34.80770647,2.798199115
0,0.3,152.1333333,26.03719192,7303.3,184.229721,2468.866667,28.36002783,1798.6,27.44923723,12.48751547,0.28783552,932.5458306,137.9103773,7475.716253,422.9146737,1.146851562,0.206185996,44.94305618,0.516606631
0,0.4,87.16666667,6.505402455,7671.933333,62.33699745,2172.833333,14.11430921,2326.433333,19.75255148,Infinity,NaN,1473.636881,118.5066601,8588.71057,135.1377997,0.630827739,0.052014933,46.1902142,0.152699008
0,0.5,69.36666667,2.202037399,7700.5,49.68340438,1817.433333,11.79987343,2726.533333,19.13736156,Infinity,NaN,1787.512465,82.97578111,8922.152506,63.41312647,0.488669888,0.017376394,46.34077824,0.116958381
0,0.6,63.36666667,1.552557835,7579.7,65.75650421,1456.466667,11.59594804,3065.066667,21.85955295,Infinity,NaN,1961.132082,74.04167926,9048.700645,59.61747169,0.441095184,0.012853054,46.45191552,0.133077901
0,0.7,57.06666667,2.16995181,7257.966667,109.7582705,1098.8,9.042909337,3326.433333,24.08839264,Infinity,NaN,2166.745337,116.122727,9193.178713,50.70576608,0.391263837,0.016631753,46.54716337,0.108435946
0,0.8,43.8,1.162923224,6702.4,173.8617316,730.8,9.182171535,3504.033333,24.44711204,Infinity,NaN,2678.582309,165.6046326,9437.59793,61.79874614,0.289542915,0.011192739,46.50445128,0.108134992
0,0.9,25.5,1.258862713,5494.766667,183.9359827,361.2333333,4.610241103,3615.133333,28.95373319,Infinity,NaN,4540.427519,323.1805452,9746.23433,57.97521354,0.149706803,0.009289675,46.51068376,0.192633747
0,1,8,0,7997.7,44.11130342,0.2,0.145432253,3658.133333,24.37451571,Infinity,NaN,Infinity,NaN,9918.259328,57.74343934,0,0,46.60316762,0.13228043
