loss,corrupt,original,original_ci,retransmit,retransmit_ci,ack,ack_ci,corrupt,corrupt_ci,rtt,rtt_ci,performance,performance_ci,delay,delay_ci,goodput,goodput_ci,tput,tput_ci
0,0,1000,0,37.8,3.898954618,1037.8,3.898954618,0,0,11.55269424,0.07806221,11.98696466,0.102026673,0,0,7.953260433,0.063291214,13.20785763,0.126221151
0.1,0,1000,0,284.7,16.18475291,1155.7,9.60460266,0,0,11.65157421,0.098828337,17.00593888,0.331799116,0.003159105,0.005196729,7.949292801,0.063676233,14.70732763,0.151804831
0.2,0,1000,0,624.3,22.61374798,1307.6,14.01890066,0,0,11.77476536,0.104637205,23.81802932,0.45118185,0.072669402,0.069443471,7.949330292,0.065132308,16.64234033,0.247161946
0.3,0,999.9,0.1645,1133.1,28.30956371,1498,13.69516701,0,0,11.96367869,0.13755512,33.91062094,0.570009617,0.507651228,0.168607255,7.942075094,0.0614174,19.06385569,0.219188482
0.4,0,880.4,134.210495,2816.8,929.2370531,2059.8,294.1672959,0,0,12.06821544,0.328858635,105.3118086,67.53930986,833.8572864,976.4257102,6.982970973,1.081105775,26.20416431,3.700687926
0.5,0,981.4,10.66702135,3381.4,65.53773957,2199.2,32.00200361,0,0,13.19540378,0.186187501,79.62426302,1.557016814,231.6263985,85.22774613,7.783337605,0.068078805,27.99173447,0.522208667
0.6,0,649.4,16.588692,3579.8,51.29704492,1689.9,19.50934245,0,0,13.2693377,0.171784749,121.4490911,2.453865168,3551.580732,222.5468209,5.129073635,0.146767412,21.50533962,0.277190786
0.7,0,353,16.99479533,3620.3,54.12694406,1197.3,28.13121015,0,0,12.60653813,0.307042177,217.4777043,8.352346514,6423.873839,195.1025181,2.779486243,0.141541304,15.23938655,0.403892978
0.8,0,160.7,12.9040205,3725.4,115.0573205,771.3,33.83092245,0,0,12.54228845,1.028577366,483.5240996,30.17143313,8445.379778,148.7123615,1.241063789,0.099943849,9.811549828,0.408553047
0.9,0,42.2,2.522333333,3735.7,238.6544283,374.3,24.5835024,0,0,Infinity,NaN,1796.946806,127.7979158,9622.886607,77.72927315,0.301736436,0.026523211,4.768736487,0.33667123
