random seed:58,messagenum:1000,wsize:8,interarrival:20.0,timeer:20.0,repeat time:5,algorithm:GBN,,,,,,,,,,,,,
loss,corrupt,original,original_ci,retransmit,retransmit_ci,ack,ack_ci,corrupt,corrupt_ci,rtt,rtt_ci,performance,performance_ci,delay,delay_ci,goodput,goodput_ci,tput,tput_ci
0,0,1000,0,0,0,1000,0,0,0,11.8551288,0.116216423,11.8551288,0.116216423,0,0,7.961972096,0.103130073,12.74165043,0.162209412
0,0.1,1000,0,548.6,67.97374086,1548.6,67.97374086,252.8,27.71910422,16.16280554,0.606719556,45.21394905,5.401920357,5.149922239,2.774940108,7.949048555,0.094775694,19.72265836,0.756231875
0,0.2,895.2,41.43767734,1676.2,47.17853117,2564.8,30.60937922,712,25.47892065,51.66038515,3.377148669,169.1158571,12.38121772,1078.348703,333.9802927,7.062863062,0.305925088,32.6770621,0.453691281
0,0.3,620.8,24.16750786,2098,29.28377234,2712.8,33.16378749,1048.2,25.83435709,62.03420337,7.111910191,258.8287008,8.055574869,3794.781622,315.9511053,4.878102481,0.164442952,34.55783977,0.108355689
0,0.4,475.6,29.94894066,2366,66.28553984,2835.8,49.28525419,1383.6,49.85354272,67.9728281,10.17602547,339.2095059,21.76142347,5278.791107,370.5649697,3.725190966,0.260422206,36.12128423,0.210212431
0,0.5,350.4,18.21127189,2768.4,56.0643416,3110,69.09587475,1859.6,72.75773819,Infinity,NaN,460.4303313,22.50227291,6544.790453,109.2039003,2.72499955,0.126771214,39.61434952,0.623170233
0,0.6,267.8,15.26751432,3191.8,36.04915319,3438.2,35.10601125,2377.2,33.1882572,Infinity,NaN,609.5456941,39.71162335,7449.543242,263.2098837,2.069835434,0.135099017,43.80098042,0.276299299
0,0.7,100.4,8.651511515,4146.8,136.3638524,3637.6,49.79923364,2751.6,52.73398953,Infinity,NaN,1605.911661,137.3357877,8859.883072,98.93805213,0.735718733,0.068061082,46.33730797,0.124890808
0,0.8,57,1.560584025,5315.4,58.88226891,3644.8,61.94992249,3059.8,52.25665573,Infinity,NaN,2661.205544,96.46961803,9332.831295,79.08666608,0.390036717,0.009260935,46.42665949,0.293780551
0,0.9,38.8,1.831794475,6595,104.9736872,3641,53.54974036,3471.8,47.7316529,Infinity,NaN,3825.35877,154.6309743,9585.577179,66.01840896,0.245104486,0.012849268,46.37962791,0.126710845
0,1,8,0,8001.6,99.00467725,3654.8,49.20282722,4024.6,63.79673943,Infinity,NaN,Infinity,NaN,9983.325454,91.58132211,0,0,46.55661152,0.124457894
